"","Year","Device","Action","Adventure","Fighting","Misc","Platform","Puzzle","Racing","Role-Playing","Shooter","Simulation","Sports","Strategy","Sales"
"90","2004","XB",7.31,0.55,3.52,3.58,2.01,0.07,7.22,5.95,18.81,1.27,13.64,1.57,65.5
"91","2005","DS",3.14,1.37,1.35,28.75,7.13,17.43,24.08,3.96,0.2,40.31,0.87,1.63,130.22
"92","2005","GBA",7.43,1.22,0,9.88,5.86,0.67,1.03,4.75,0.14,1.06,1.63,0.23,33.9
"93","2005","GC",6.96,1.28,1.86,3.21,2.78,0.42,0.77,1.59,2.04,0.63,5.79,0.47,27.8
"94","2005","PC",1.04,0.02,0,0,0,0,0.31,0.25,0.46,1.51,0,0.82,4.41
"95","2005","PS2",42.74,1.97,13.34,15.37,4.91,0.52,12.61,12.95,18.48,3.04,33.33,1.39,160.65
"96","2005","PSP",9.91,1.09,1.01,2.4,1.46,1.38,10.28,3.48,3.36,1.46,7.66,0.4,43.89
"97","2005","X360",1.25,0,0.47,0,0,0,2.05,0,3.17,0,1.33,0,8.27
"98","2005","XB",13.06,1.49,1.68,1.47,1.25,0,4.9,1.44,13.7,0.91,8.9,0.37,49.17
"99","2006","DS",9.39,3.67,2.03,17.28,37.43,5.26,1.31,27.89,1.58,10.92,2.65,0.51,119.92
"100","2006","GBA",0.55,0.56,0,0.6,0.8,0.08,1.14,1.31,0.03,0.16,0.12,0,5.35
"101","2006","GC",4.27,0.85,0.13,0.24,1.66,0,2.41,0.1,0.11,0.27,1.25,0,11.29
"102","2006","PC",0.16,0.04,0,0.02,0,0.03,0.07,0.44,0.09,1.51,0.03,0.52,2.91
"103","2006","PS2",20.27,4.15,7.85,13.55,1.11,0.3,5.91,12.88,7.09,2.67,26.68,0.96,103.42
"104","2006","PS3",0.92,0,1.67,0.04,1.16,0,7.25,0.58,5.84,1.07,2.42,0,20.95
